id,undotted,transliterated
27033,אף על פי כן ,ap yl pi kn
27034,על אף ,yl ap
27035,אף על פי ,ap yl pi
27036,אף פעם ,ap pym
27037,אף נפש חיה ,ap npe xih
27038,אף אם ,ap am
27039,אף כי ,ap ki
27040,אף גם זאת ,ap gm zat
27041,אף על גב ,ap yl gb
27042,לא זו אף זו ,la zw ap zw
27043,בעל פה ,byl ph
28541,עבודת נמלים ,ybwdt nmlim
27071,בבת אחת ,bbt axt
27048,על הפנים ,yl hpnim
27047,על קצה הלשון ,yl qch hlewn
27050,משום כך ,mewm kk
27051,על כן ,yl kn
27052,באשר על כן ,baer yl kn
27053,יתר על כן ,itr yl kn
27054,כי על כן ,ki yl kn
27055,אשר על כן ,aer yl kn
27056,בכל אופן ,bkl awpn
27057,לפי שעה ,lpi eyh
27058,על מנת ,yl mnt
27059,אם כי ,am ki
27060,אלא אם כן ,ala am kn
27061,אם כך ,am kk
27062,אם לא כן ,am la kn
27063,אחרי כן ,axri kn
27064,כל שכן ,kl ekn
27065,כמו כן ,kmw kn
27066,לאחר מכן ,laxr mkn
27067,לפני כן ,lpni kn
27068,על פי רוב ,yl pi rwb
27069,אך זה ,ak zh
27070,אך ורק ,ak wrq
27084,אלא אם ,ala am
27856,סדו מזו ,sdw mzw
27871,הא לחמא עניא ,ha lxma ynia
28511,סנט ג'ונס ,
28059,בני ברק ,bni brq
28060,בני השרון ,bni herwn
28061,בני סחנין ,bni sxnin
28513,אבו דאבי ,abw dabi
28512,סנט ג'ורג' ,
28510,ריו דה ז'נרו ,
28507,פנום פן ,pnwm pn
28506,סנט פטרסבורג ,snv pvrsbwrg
28096,קריית יערים ,qriit iyrim
28095,אשדות יעקב ,aedwt iyqb
28094,עין חרוד ,yin xrwd
28093,גבעת חיים ,gbyt xiim
28092,בן שמן ,bn emn
28091,כרם יבנה ,krm ibnh
28090,כפר רוזנואלד ,kpr rwznwald
28089,אשדות יעקב איחוד ,aedwt iyqb aixwd
28467,דגניה א' ,
28098,ניר דוד ,nir dwd
28099,כפר חסידים ,kpr xsidim
28100,"מצפה אבי""ב ","mcph abi""b"
28101,כפר אביב ,kpr abib
28102,גבעת אבני ,gbyt abni
28103,כפר אדומים ,kpr adwmim
28104,ביתן אהרן ,bitn ahrn
28105,גן אור ,gn awr
28106,באר טוביה ,bar vwbih
28107,כפר אוריה ,kpr awrih
28108,בית אורן ,bit awrn
28109,"נווה אטי""ב ","nwwh avi""b"
28110,עין איילה ,yin aiilh
28111,משמר איילון ,memr aiilwn
28112,נוף איילון ,nwp aiilwn
28113,נווה אילן ,nwwh ailn
28114,שדה אילן ,edh ailn
28115,אבני איתן ,abni aitn
28116,נווה איתן ,nwwh aitn
28508,סן פרנסיסקו ,sn prnsisqw
28120,גבעת אלה ,gbyt alh
28121,ניר אליהו ,nir alihw
28122,שדה אליהו ,edh alihw
28123,שדה אליעזר ,edh aliyzr
28124,תלמי אלעזר ,tlmi alyzr
28125,בית אלעזרי ,bit alyzri
28126,בית אלפא ,bit alpa
28127,עץ אפרים ,yc aprim
28128,שער אפרים ,eyr aprim
28465,דגניה ב' ,
28130,שדה בוקר ,edh bwqr
28131,בית יוסף ,bit iwsp
28132,"כפר ביל""ו ","kpr bil""w"
28133,"תלמי ביל""ו ","tlmi bil""w"
28134,מבוא ביתר ,mbwa bitr
28135,כפר בלום ,kpr blwm
28136,גבע בנימין ,gby bnimin
28137,יד בנימין ,id bnimin
28138,כפר ברוך ,kpr brwk
28139,בית עזרא ,bit yzra
28140,בית ברל ,bit brl
28141,גבעת ברנר ,gbyt brnr
28142,בית קמה ,bit qmh
28143,עין גב ,yin gb
28144,עין גדי ,yin gdi
28145,כפר גדעון ,kpr gdywn
28146,בית גוברין ,bit gwbrin
28147,מרום גולן ,mrwm gwln
28148,נאות גולן ,nawt gwln
28149,בר גיורא ,br giwra
28150,הר גילה ,hr gilh
28151,מעלה גלבוע ,mylh glbwy
28152,כפר גלים ,kpr glim
28153,ניר גלים ,nir glim
28154,כפר גליקסון ,kpr gliqswn
28155,כפר גלעדי ,kpr glydi
28156,מעלה גמלא ,mylh gmla
28157,בית גמליאל ,bit gmlial
28158,משגב דב ,megb db
28159,שדמות דבורה ,edmwt dbwrh
28160,משמר דוד ,memr dwd
28161,רמת דוד ,rmt dwd
28162,שדה דוד ,edh dwd
28163,עין דור ,yin dwr
28164,מבוא דותן ,mbwa dwtn
28466,שייח' דנון ,eiix dnwn
28166,כפר דניאל ,kpr dnial
28167,נווה דניאל ,nwwh dnial
28168,נווה דקלים ,nwwh dqlim
28169,בני דרום ,bni drwm
28170,כפר דרום ,kpr drwm
28171,בני דרור ,bni drwr
28172,כפר האורנים ,kpr hawrnim
28173,אלוני הבשן ,alwni hben
28174,להבות הבשן ,lhbwt hben
28175,נתיב הגדוד ,ntib hgdwd
28176,בית הגדי ,bit hgdi
28177,שער הגולן ,eyr hgwln
28178,לוחמי הגיטאות ,lwxmi hgivawt
28179,אלון הגליל ,alwn hglil
28180,בוסתן הגליל ,bwstn hglil
28181,גורנות הגליל ,gwrnwt hglil
28183,צור הדסה ,cwr hdsh
28184,בת הדר ,bt hdr
28185,גנות הדר ,gnwt hdr
28186,גני הדר ,gni hdr
28187,גן הדרום ,gn hdrwm
28188,עין הוד ,yin hwd
28189,גשר הזיו ,ger hziw
28190,גבעון החדשה ,gbywn hxdeh
28191,כפר החורש ,kpr hxwre
28192,עין החורש ,yin hxwre
28193,מעלה החמישה ,mylh hxmieh
28194,משמר הירדן ,memr hirdn
28195,רמת הכובש ,rmt hkwbe
28196,נאות הכיכר ,nawt hkikr
28197,"נתיב הל""ה ","ntib hl""h"
28198,בית הלוי ,bit hlwi
28200,כפר המכבי ,kpr hmkbi
28201,עין המפרץ ,yin hmprc
28202,כפר הנגיד ,kpr hngid
28203,"עין הנצי""ב ","yin hnci""b"
28204,אור הנר ,awr hnr
28205,אשל הנשיא ,ael hneia
28206,כפר הנשיא ,kpr hneia
28207,כפר הס ,kpr hs
28208,בית העמק ,bit hymq
28209,משמר העמק ,memr hymq
28210,עין העמק ,yin hymq
28211,שושנת העמקים ,ewent hymqim
28212,שער העמקים ,eyr hymqim
28213,בית הערבה ,bit hyrbh
28214,נתיב העשרה ,ntib hyerh
28215,טירת צבי ,virt cbi
28216,"כפר הרי""ף ","kpr hri""p"
28217,נס הרים ,ns hrim
28218,משמר השבעה ,memr hebyh
28219,גן השומרון ,gn hewmrwn
28220,עין השופט ,yin hewpv
28221,רמת השופט ,rmt hewpv
28222,איילת השחר ,aiilt hexr
28223,כוכב השחר ,kwkb hexr
28224,בית השיטה ,bit heivh
28225,נתיב השיירה ,ntib heiirh
28226,גבעת השלושה ,gbyt helweh
28227,יד השמונה ,id hemwnh
28228,חבצלת השרון ,xbclt herwn
28229,כפר אחים ,kpr axim
28230,כפר ויתקין ,kpr witqin
28231,שדה ורבורג ,edh wrbwrg
28232,עין ורד ,yin wrd
28233,מנשית זבדה ,mneit zbdh
28234,עלי זהב ,yli zhb
28235,נווה זוהר ,nwwh zwhr
28236,בית זיד ,bit zid
28237,נווה זיו ,nwwh ziw
28238,עין זיוון ,yin ziwwn
28239,בית זית ,bit zit
28240,כפר זיתים ,kpr zitim
28241,בן זכאי ,bn zkai
28242,בית זרע ,bit zry
28243,"גבעת ח""ן ","gbyt x""n"
28244,"ניר ח""ן ","nir x""n"
28245,"כפר חב""ד ","kpr xb""d"
28246,להבות חביבה ,lhbwt xbibh
28247,פני חבר ,pni xbr
28248,פקיעין חדשה ,pqiyin xdeh
28249,כפר ורבורג ,kpr wrbwrg
28250,בית חורון ,bit xwrwn
28251,מבוא חורון ,mbwa xwrwn
28252,כפר חושן ,kpr xwen
28253,נצר חזני ,ncr xzni
28254,כפר חיטים ,kpr xivim
28255,גן חיים ,gn xiim
28256,חפץ חיים ,xpc xiim
28257,כפר חיים ,kpr xiim
28258,מעוז חיים ,mywz xiim
28259,ברור חיל ,brwr xil
28260,בית חירות ,bit xirwt
28261,בית חלקיה ,bit xlqih
28262,שדי חמד ,edi xmd
28263,מבוא חמה ,mbwa xmh
28264,סוואעד חמיירה ,swwayd xmiirh
28265,יד חנה ,id xnh
28266,בית חנן ,bit xnn
28267,בית חנניה ,bit xnnih
28268,כפר מצר ,kpr mcr
28269,אבני חפץ ,abni xpc
28270,בת חפר ,bt xpr
28271,עין חצבה ,yin xcbh
28272,כפר חרוב ,kpr xrwb
28273,נווה חריף ,nwwh xrip
28274,בית חשמונאי ,bit xemwnai
28275,גני טל ,gni vl
28276,כפר טרומן ,kpr vrwmn
28277,גן יאשיה ,gn iaeih
28278,קבוצת יבנה ,qbwct ibnh
28279,צור יגאל ,cwr igal
28280,כפר ידידיה ,kpr ididih
28281,עין יהב ,yin ihb
28283,גני יהודה ,gni ihwdh
28284,טירת יהודה ,virt ihwdh
28285,מצדות יהודה ,mcdwt ihwdh
28286,בית יהושע ,bit ihwey
28287,כפר יהושע ,kpr ihwey
28288,גבעת יואב ,gbyt iwab
28289,שדה יואב ,edh iwab
28290,בר יוחאי ,br iwxai
28291,גני יוחנן ,gni iwxnn
28292,רמת יוחנן ,rmt iwxnn
28293,כרמי יוסף ,krmi iwsp
28294,תל יוסף ,tl iwsp
28295,כפר יחזקאל ,kpr ixzqal
28296,גליל ים ,glil im
28297,מבואות ים ,mbwawt im
28298,נווה ים ,nwwh im
28299,צוקי ים ,cwqi im
28300,רפיח ים ,rpix im
28301,שדות ים ,edwt im
28302,נווה ימין ,nwwh imin
28303,בית ינאי ,bit inai
28304,חצרות יסף ,xcrwt isp
28305,כפר יעבץ ,kpr iybc
28306,כוכב יעקב ,kwkb iyqb
28307,עין יעקב ,yin iyqb
28308,שדה יעקב ,edh iyqb
28309,גבעת יערים ,gbyt iyrim
28310,ניר יפה ,nir iph
28311,תלמי יפה ,tlmi iph
28312,אלוני יצחק ,alwni icxq
28313,בארות יצחק ,barwt icxq
28314,משואות יצחק ,mewawt icxq
28315,שדה יצחק ,edh icxq
28316,תל יצחק ,tl icxq
28317,ורד יריחו ,wrd irixw
28318,מצפה יריחו ,mcph irixw
28319,נווה ירק ,nwwh irq
28320,שאר ישוב ,ear iewb
28321,גבעת ישעיהו ,gbyt ieyihw
28322,ניר ישראל ,nir ieral
28323,"גבעת כ""ח ","gbyt k""x"
28324,גבע כרמל ,gby krml
28325,עין כרמל ,yin krml
28326,חרב לאת ,xrb lat
28327,מעלה לבונה ,mylh lbwnh
28328,בית מאיר ,bit mair
28329,רמות מאיר ,rmwt mair
28330,רמת מגשימים ,rmt mgeimim
28331,משמר הנגב ,memr hngb
28332,מבוא מודיעים ,mbwa mwdiyim
28333,כפר מונש ,kpr mwne
28334,אלון מורה ,alwn mwrh
28335,שדמות מחולה ,edmwt mxwlh
28336,כוכב מיכאל ,kwkb mikal
28337,מעגן מיכאל ,mygn mikal
28338,נווה מיכאל ,nwwh mikal
28339,שדות מיכה ,edwt mikh
28340,כפר מימון ,kpr mimwn
28341,מעלה מכמש ,mylh mkme
28342,"כפר מל""ל ","kpr ml""l"
28343,אבן מנחם ,abn mnxm
28344,כפר מנחם ,kpr mnxm
28345,רמות מנשה ,rmwt mneh
28346,שער מנשה ,eyr mneh
28347,כפר מסריק ,kpr msriq
28348,יד מרדכי ,id mrdki
28349,כפר מרדכי ,kpr mrdki
28350,נאות מרדכי ,nawt mrdki
28351,נווה מבטח ,nwwh mbvx
28352,צור משה ,cwr meh
28353,שדה משה ,edh meh
28354,שדה נחום ,edh nxwm
28355,בית נחמיה ,bit nxmih
28356,שדה נחמיה ,edh nxmih
28357,מצפה נטופה ,mcph nvwph
28358,קריית נטפים ,qriit nvpim
28359,ניר בנים ,nir bnim
28360,בית ניר ,bit nir
28361,רמות נפתלי ,rmwt nptli
28362,עין נקובא ,yin nqwba
28363,בית נקופה ,bit nqwph
28364,גן נר ,gn nr
28365,יד נתן ,id ntn
28366,ניר עוז ,nir ywz
28367,כפר סאלד ,kpr sald
28368,כפר סילבר ,kpr silbr
28369,אלי סיני ,ali sini
28370,ניצני סיני ,nicni sini
28371,כפר סירקין ,kpr sirqin
28372,נאות סמדר ,nawt smdr
28373,אבן ספיר ,abn spir
28374,נצר סרני ,ncr srni
28375,כפר עבודה ,kpr ybwdh
28376,תל עדשים ,tl ydeim
28377,בית עובד ,bit ywbd
28378,גבעת עוז ,gbyt ywz
28379,מגדל עוז ,mgdl ywz
28380,מדרך עוז ,mdrk ywz
28381,נחל עוז ,nxl ywz
28382,ניצני עוז ,nicni ywz
28383,בית עוזיאל ,bit ywzial
28384,כפר עזה ,kpr yzh
28385,עין הבשור ,yin hbewr
28386,מוצא עילית ,mwca yilit
28387,פורייה עילית ,pwriih yilit
28388,בת עין ,bt yin
28389,עין עירון ,yin yirwn
28390,גני עם ,gni ym
28391,הדר עם ,hdr ym
28392,עין השלושה ,yin helweh
28393,ניר עם ,nir ym
28394,מעלה עמוס ,mylh ymws
28395,בן עמי ,bn ymi
28396,מי עמי ,mi ymi
28397,נס עמים ,ns ymim
28398,קריית ענבים ,qriit ynbim
28399,כפר עציון ,kpr yciwn
28400,ניר עציון ,nir yciwn
28401,בני עצמון ,bni ycmwn
28402,ניר עקיבא ,nir yqiba
28403,בית עריף ,bit yrip
28404,כפר פינס ,kpr pins
28405,בית צבי ,bit cbi
28406,מעיין צבי ,myiin cbi
28407,ניר צבי ,nir cbi
28408,קדמת צבי ,qdmt cbi
28409,רמת צבי ,rmt cbi
28410,שדה צבי ,edh cbi
28411,כרמי צור ,krmi cwr
28412,עין צורים ,yin cwrim
28413,ראש צורים ,rae cwrim
28414,בני ציון ,bni ciwn
28415,חיבת ציון ,xibt ciwn
28416,מסילת ציון ,msilt ciwn
28417,כפר קיש ,kpr qie
28418,תל קציר ,tl qcir
28419,בית קשת ,bit qet
28420,בני ראם ,bni ram
28421,דייר ראפאת ,diir rapat
28422,עין ראפה ,yin raph
28423,בית רבן ,bit rbn
28424,כפר רופין ,kpr rwpin
28425,כפר רות ,kpr rwt
28426,רמת רזיאל ,rmt rzial
28427,רמת רחל ,rmt rxl
28428,בית רימון ,bit rimwn
28429,גת רימון ,gt rimwn
28430,"יד רמב""ם ","id rmb""m"
28431,מגן שאול ,mgn eawl
28432,אלון שבות ,alwn ebwt
28433,משאבי שדה ,meabi edh
28434,פאת שדה ,pat edh
28435,מעלה שומרון ,mylh ewmrwn
28436,שבי שומרון ,ebi ewmrwn
28437,גן שורק ,gn ewrq
28438,טל שחר ,vl exr
28439,נווה שלום ,nwwh elwm
28440,מצפה שלם ,mcph elm
28441,בת שלמה ,bt elmh
28442,גן שלמה ,gn elmh
28443,כפר שמאי ,kpr emai
28444,אבן שמואל ,abn emwal
28445,גן שמואל ,gn emwal
28446,כפר שמואל ,kpr emwal
28447,עין שמר ,yin emr
28448,גבעת שמש ,gbyt eme
28449,בית שערים ,bit eyrim
28450,מאיר שפיה ,mair epih
28451,גבעת שפירא ,gbyt epira
28452,מרכז שפירא ,mrkz epira
28453,בית שקמה ,bit eqmh
28454,שדה ניצן ,edh nicn
28455,שדה עוזיהו ,edh ywzihw
28456,גאולי תימן ,gawli timn
28457,עין תמר ,yin tmr
28458,כפר תפוח ,kpr tpwx
28459,שערי תקווה ,eyri tqwwh
28460,שדי תרומות ,edi trwmwt
28461,"פעמי תש""ז ","pymi te""z"
28462,תלמי אליהו ,tlmi alihw
28463,תלמי יוסף ,tlmi iwsp
28464,תלמי יחיאל ,tlmi ixial
28505,לה פאס ,lh pas
28504,סאו פאולו ,saw pawlw
28503,רבת עמון ,rbt ymwn
28502,סן סלוודור ,sn slwwdwr
28501,מקסיקו סיטי ,mqsiqw sivi
28500,כווית סיטי ,kwwit sivi
28499,קואלה לומפור ,qwalh lwmpwr
28498,ניו יורק ,niw iwrq
28497,סן חואן ,sn xwan
28496,ניו דלהי ,niw dlhi
28495,סן דיאגו ,sn diagw
28494,ריו דה ,riw dh
28493,אולן בטור ,awln bvwr
28491,בואנוס איירס ,bwanws aiirs
28490,ניו אורלינס ,niw awrlins
28489,אדיס אבבה ,adis abbh
28509,הונג קונג ,hwng qwng
28514,סנטו דומינגו ,snvw dwmingw
28515,קריית הוותיקן ,qriit hwwtiqn
28516,פנמה סיטי ,pnmh sivi
28517,גואטמלה סיטי ,gwavmlh sivi
28518,פורטו נובו ,pwrvw nwbw
28519,סן מרינו ,sn mrinw
28520,סנט לוסיה ,snv lwsih
28521,סן חוסה ,sn xwsh
28522,קייפ טאון ,qiip vawn
28523,וושינגטון הבירה ,wweingvwn hbirh
28524,כפר חסידים א' ,
28525,כפר חסידים ב' ,
28526,תל עמל ,tl yml
28527,גבעת חיים איחוד ,gbyt xiim aixwd
28528,עין חרוד איחוד ,yin xrwd aixwd
28529,גבעת חיים מאוחד ,gbyt xiim mawxd
28530,עין חרוד מאוחד ,yin xrwd mawxd
28531,אשדות יעקב מאוחד ,aedwt iyqb mawxd
28532,תל אביב ,tl abib
28533,באר שבע ,bar eby
28534,פתח תקווה ,ptx tqwwh
28535,רמת גן ,rmt gn
28552,מפני ש ,mpni e
28553,מתחת ל ,mtxt l
28554,מחוץ ל ,mxwc l
28555,מעל ל ,myl l
28556,מאחר ו ,maxr w
28557,כיוון ש ,kiwwn e
28878,בן גוריון ,bn gwriwn
28561,על סמך ,yl smk
28569,תוך כדי ,twk kdi
28570,אחר הצהריים ,axr hchriim
28571,על סף ,yl sp
28572,בין הערביים ,bin hyrbiim
28573,בין השמשות ,bin hemewt
28574,בין המיצרים ,bin hmicrim
28575,לפנות ערב ,lpnwt yrb
28576,מצד אחד ,mcd axd
28577,מצד שני ,mcd eni
28881,בן יהודה ,bn ihwdh
28891,ארץ השמש העולה ,arc heme hywlh
28892,ארץ זבת חלב ודבש ,arc zbt xlb wdbe
28940,ארצות הברית ,arcwt hbrit
28942,רמת השרון ,rmt herwn
28944,אבו נידאל ,abw nidal
28945,אום אל פאחם ,awm al paxm
28946,אל על ,al yl
28948,סן סימון ,sn simwn
28950,על כך ,yl kk
28951,אל חלד ,al xld
28952,אם כן ,am kn
28953,אסטון וילה ,asvwn wilh
28956,ג'ואיש כרוניקל ,
28954,ברית המועצות ,brit hmwycwt
30655,עיד אל אדחא ,yid al adxa
28975,בית חאנון ,bit xanwn
28957,באב אל וואד ,bab al wwad
28958,באייר לברקוזן ,baiir lbrqwzn
28959,אחר כך ,axr kk
28960,אינדיאנה ג'ונס ,
28961,אל פאג'ר ,
28962,אל איתיחאד ,al aitixad
28963,אל נכון ,al nkwn
28964,אפקוט סנטר ,apqwv snvr
28967,אל תופח ,al twpx
28968,ג'ואיש פרס ,
28969,ידיעות אחרונות ,idiywt axrwnwt
28971,באיירן מינכן ,baiirn minkn
28972,אפר איסט סייד ,apr aisv siid
28973,איסט סייד ,aisv siid
28974,אל סלבדור ,al slbdwr
28976,בית אריאלה ,bit arialh
28977,בית לחם ,bit lxm
28979,נוף ים ,nwp im
28980,בת ים ,bt im
28981,גבעת שאול ,gbyt eawl
28982,גולדן סטייט ,gwldn sviiv
28983,גוש אמונים ,gwe amwnim
28984,בד בבד ,bd bbd
28985,דיור לעולה ,diwr lywlh
28986,דיסני וורלד ,disni wwrld
28987,ווסט פוינט ,wwsv pwinv
28988,בוסטון גלוב ,bwsvwn glwb
28990,יד אליהו ,id alihw
28991,יד ושם ,id wem
28992,ביר זית ,bir zit
28993,בית וגן ,bit wgn
28994,בית סחור ,bit sxwr
28995,בית שאן ,bit ean
28996,כימיקלים לישראל ,kimiqlim lieral
28997,כפר המכביה ,kpr hmkbih
28998,כפר סבא ,kpr sba
28999,מגרש הרוסים ,mgre hrwsim
29000,בן אריה ,bn arih
29001,בן זאב ,bn zab
29002,בן חמו ,bn xmw
29004,בן פורת ,bn pwrt
29005,בן איון ,bn aiwn
29006,בן ברוך ,bn brwk
29013,בני הכפר ,bni hkpr
29007,בן הרוש ,bn hrwe
29008,בן חורין ,bn xwrin
36226,גן עדן ,gn ydn
29010,בן יצחק ,bn icxq
29011,בן שמעון ,bn emywn
29012,נווה מונוסון ,nwwh mwnwswn
29014,בני יהודה ,bni ihwdh
29015,ניו ג'רזי ,
29016,סן מוריץ ,sn mwric
