id,undotted,transliterated
35292,מהכא להתם ,mhka lhtm
35293,מהיכא תיתי ,mhika titi
35295,מה יום מימים ,mh iwm mimim
35294,מהדרין מן המהדרין ,mhdrin mn hmhdrin
35296,מה ביניהם ,mh binihm
35302,מדי יום ביומו ,mdi iwm biwmw
35303,מדי חודש בחודשו ,mdi xwde bxwdew
35304,מדחי אל דחי ,mdxi al dxi
35306,מדורי דורות ,mdwri dwrwt
35309,מאידך גיסא ,maidk gisa
35308,מאלף ועד תו ,malp wyd tw
35310,מאחורי הפרגוד ,maxwri hprgwd
35311,מאז ומעולם ,maz wmywlm
35326,מתחת לכל ביקורת ,mtxt lkl biqwrt
35321,לפנים משורת הדין ,lpnim mewrt hdin
35336,לגופו של דבר ,lgwpw el dbr
35327,ללא הועיל ,lla hwyil
35328,לית דין ולית דין ,lit din wlit din
35329,לחיים טובים ולשלום ,lxiim vwbim wlelwm
35333,להבדיל אלף אלפי הבדלות ,lhbdil alp alpi hbdlwt
35334,לדור ודור ,ldwr wdwr
35339,לאמיתו של דבר ,lamitw el dbr
35337,לבלי חוק ,lbli xwq
35340,לאט לאט ,lav lav
35341,לא באלף רבתי ,la balp rbti
35348,כשתי טיפות מים ,keti vipwt mim
35349,כעת חיה ,kyt xih
35350,כנסת הגדולה ,knst hgdwlh
35356,כלה ונחרצה ,klh wnxrch
35358,כלאחר יד ,klaxr id
35360,ביש גדא ,bie gda
35361,כיד המלך ,kid hmlk
35362,כטפה מן הים ,kvph mn him
35363,כחתן בין אבלים ,kxtn bin ablim
35386,איבוד לדעת ,aibwd ldyt
35381,אב הרחמים ,ab hrxmim
35382,אבינו שבשמים ,abinw ebemim
35387,אבי אבות הטומאה ,abi abwt hvwmah
35388,סעד אלחרירי ,syd alxriri
35389,רפיק אלחרירי ,rpiq alxriri
35391,עד כדי ,yd kdi
35392,לא אחת ,la axt
35394,נגד מטוסים ,ngd mvwsim
35401,אביר יעקב ,abir iyqb
35395,נגד מטוסים ,ngd mvwsim
35400,אביר ישראל ,abir ieral
35410,אגב אורחא ,agb awrxa
35411,אגב אורח ,agb awrx
35412,אגב גררא ,agb grra
35417,אדם הראשון ,adm hraewn
35418,אדם מן היישוב ,adm mn hiiewb
35419,אדם מן השוק ,adm mn hewq
35420,אדמת הקודש ,admt hqwde
35423,אהבה עצמית ,ahbh ycmit
35424,אהבה התלויה בדבר ,ahbh htlwih bdbr
35426,אוהל מועד ,awhl mwyd
35427,אוד מוצל מאש ,awd mwcl mae
35428,אוד מוצל משרפה ,awd mwcl merph
35435,אור שבעת הימים ,awr ebyt himim
35438,אות באות ,awt bawt
35439,אותיות של טל ומטר ,awtiwt el vl wmvr
35440,בנימין נתניהו ,bnimin ntnihw
35443,אחד אחד ,axd axd
35444,אחד בפה ואחד בלב ,axd bph waxd blb
35445,אחד מני אלף ,axd mni alp
35448,נגד טנקים ,ngd vnqim
35450,לה סטמפה ,lh svmph
35460,אחת אחת ,axt axt
35461,אחת היא ,axt hia
35462,אחת שתיים ,axt etiim
35463,אט אט ,av av
35465,אי אלו ,ai alw
35466,אי לזאת ,ai lzat
35467,אי שם ,ai em
35468,איי הים ,aii him
35469,איך שהוא ,aik ehwa
35472,אילך ואילך ,ailk wailk
35477,איום ונורא ,aiwm wnwra
35478,אימת הציבור ,aimt hcibwr
35480,אין אונים ,ain awnim
35481,אין חקר ל ,ain xqr l
35483,איפה ואיפה ,aiph waiph
35489,איש איש ,aie aie
35496,בשעה זו ,beyh zw
35497,בכל הנוגע ,bkl hnwgy
35499,סילביו ברלוסקוני ,silbiw brlwsqwni
35500,משמרות המהפכה ,memrwt hmhpkh
35512,כחרס הנשבר ,kxrs hnebr
35501,בקעת הלבנון ,bqyt hlbnwn
35521,כהרף עין ,khrp yin
35513,כחץ מקשת ,kxc mqet
35514,כחמר ביד היוצר ,kxmr bid hiwcr
35515,כחול אשר על שפת הים ,kxwl aer yl ept him
35516,כחוט השערה ,kxwv heyrh
35517,כחדה של מחט ,kxdh el mxv
35519,כזנב הלטאה ,kznb hlvah
35520,כוס של ברכה ,kws el brkh
35522,כהנה וכהנה ,khnh wkhnh
35532,כדת וכדין ,kdt wkdin
35527,כהלכות גברין יהודאין ,khlkwt gbrin ihwdain
35528,כה יעשה לי ה' וכה יוסיף ,kh iyeh li hnullwkh iwsip
35529,כה לחי ,kh lxi
35530,כה אחיה ,kh axih
35531,כדת משה וישראל ,kdt meh wieral
35534,כבדהו וחשדהו ,kbdhw wxedhw
35540,כאין וכאפס ,kain wkaps
35537,כתמול שלשום ,ktmwl elewm
35539,באפס יד ,baps id
35548,אל ייאוש ,al iiawe
35543,כאבל בין חתנים ,kabl bin xtnim
35544,כאבל בין אבלים ,kabl bin ablim
35547,אל חינם ,al xinm
35554,רמת הגולן ,rmt hgwln
35549,אליבא דאמת ,aliba damt
35550,אלוהים אחרים ,alwhim axrim
35557,אליה וקוץ בה ,alih wqwc bh
35558,דיילי טלגרף ,diili vlgrp
35566,בשאר אסאד ,bear asad
35569,הרפובליקה האסלאמית ,hrpwbliqh haslamit
35577,כתוצאה מכך ,ktwcah mkk
35587,עמר מוסא ,ymr mwsa
35592,רצועת עזה ,rcwyt yzh
35591,אלף בית ,alp bit
35595,הקהילייה הבינלאומית ,hqhiliih hbinlawmit
35599,אמן יתומה ,amn itwmh
35600,אמן חטופה ,amn xvwph
35896,בכל חומרת הדין ,bkl xwmrt hdin
35605,הליגה הערבית ,hligh hyrbit
35606,הכוחות הלבנוניים ,hkwxwt hlbnwniim
35607,אמנון ותמר ,amnwn wtmr
35608,הוצאה להורג ,hwcah lhwrg
35610,החזית העממית לשחרור פלסטין ,hxzit hymmit lexrwr plsvin
35611,רכבת אוויר ,rkbt awwir
35612,יין המשומר ,iin hmewmr
35625,מועצת הביטחון ,mwyct hbivxwn
35616,יחידו של עולם ,ixidw el ywlm
35624,ועדת חוץ וביטחון ,wydt xwc wbivxwn
35629,יום כיפור קטן ,iwm kipwr qvn
35628,יום יום ,iwm iwm
35631,לא מכבר ,la mkbr
35632,יום הזיכרון ,iwm hzikrwn
35639,יום הדין ,iwm hdin
35636,ביתר שאת ,bitr eat
35642,דרום לבנון ,drwm lbnwn
35640,מלחמת לבנון השנייה ,mlxmt lbnwn heniih
35647,אמת ויציב ,amt wicib
35646,באמת ובתמים ,bamt wbtmim
35648,אמת לאמתה ,amt lamth
35649,אנה ואנה ,anh wanh
35651,אסרו חג ,asrw xg
35652,אף על גב ש ,ap yl gb e
35659,ארבע כנפות ,arby knpwt
35653,אף על פי ש ,ap yl pi e
35656,אצבע צרדה ,acby crdh
35662,רדיו משרק ,rdiw merq
35674,הים האדום ,him hadwm
35667,ארון העדות ,arwn hydwt
35668,ארון הברית ,arwn hbrit
35670,ארון אלוהים ,arwn alwhim
35685,האחים המוסלמים ,haxim hmwslmim
35676,ים סוף ,im swp
35677,תעלת סואץ ,tylt swac
35678,ארי שבחבורה ,ari ebxbwrh
35692,"עצרת האו""ם ",
35688,ניו יורק טיימס ,niw iwrq viims
35709,באותות ובמופתים ,bawtwt wbmwptim
35696,אזור הביטחון ,azwr hbivxwn
35697,רצועת הביטחון ,rcwyt hbivxwn
35700,אשת לפידות ,aet lpidwt
35704,בא בימים ,ba bimim
35710,באישון לילה ,baiewn lilh
35711,באופן בלתי אמצעי ,bawpn blti amcyi
35713,פת בג ,pt bg
35714,לה פיגארו ,lh pigarw
35715,בדחילו ורחימו ,bdxilw wrximw
35717,בדי עמל ,bdi yml
35725,בהן צדק ,bhn cdq
35730,בוחן כליות ולב ,bwxn kliwt wlb
35726,בהיסח הדעת ,bhisx hdyt
35736,בושה וכלימה ,bweh wklimh
35738,בית הדין הבינלאומי ,bit hdin hbinlawmi
35737,בזיל הזול ,bzil hzwl
35747,בחוזק יד ,bxwzq id
35739,בית הדין הבינלאומי לצדק ,bit hdin hbinlawmi lcdq
35742,בית הדין הפלילי הבינלאומי ,bit hdin hplili hbinlawmi
35743,בחדרי חדרים ,bxdri xdrim
35749,בחצי חינם ,bxci xinm
35750,בטוב טעם ,bvwb vym
35753,בין המצרים ,bin hmcrim
35754,בין המצרים ,bin hmcrim
35756,בין השיטין ,bin heivin
35757,בין השורות ,bin hewrwt
35758,בין כה וכה ,bin kh wkh
35759,בין כך ובין כך ,bin kk wbin kk
35761,בין כסה לעשור ,bin ksh lyewr
35762,מזה זמן ,mzh zmn
35781,יד אחת ,id axt
35780,יד ביד ,id bid
35785,ייאוש שלא מדעת ,iiawe ela mdyt
35783,חסן נסראללה ,xsn nsrallh
35784,יד ושם ,id wem
35790,עלי אכבר סאלחי ,yli akbr salxi
35788,טיפת חלב ,vipt xlb
35789,טיפין טיפין ,vipin vipin
35792,טעם לפגם ,vym lpgm
35791,טענות ומענות ,vynwt wmynwt
35794,טלית שכולה תכלת ,vlit ekwlh tklt
35800,טבין ותקילין ,vbin wtqilin
35803,חושך מצרים ,xwek mcrim
35806,חרם דרבנו גרשם ,xrm drbnw grem
35815,חצר מוות ,xcr mwwt
35814,חוק ולא יעבור ,xwq wla iybwr
35817,חצי הלל ,xci hll
35816,חוצפא כלפי שמיא ,xwcpa klpi emia
35829,חסידים ואנשי מעשה ,xsidim wanei myeh
35833,חן חן ,xn xn
35834,חמץ שעבר עליו הפסח ,xmc eybr yliw hpsx
35836,חמור חמורתיים ,xmwr xmwrtiim
35845,בינו לבינו ,binw lbinw
35844,בינו לבין עצמו ,binw lbin ycmw
35848,ביש מזל ,bie mzl
35857,בית הבחירה ,bit hbxirh
35862,בית הלורדים ,bit hlwrdim
35875,המזרח התיכון ,hmzrx htikwn
35863,בית המקדש ,bit hmqde
35864,בית השואבה ,bit hewabh
36229,דו שיח ,dw eix
35876,בית מועד לכל חי ,bit mwyd lkl xi
35898,בלי עין הרע ,bli yin hry
35900,בלי מצרים ,bli mcrim
35899,בלי גבול ,bli gbwl
35901,ללא מצרים ,lla mcrim
35902,ללא גבול ,lla gbwl
35903,עד אין גבול ,yd ain gbwl
35904,בלי הפוגה ,bli hpwgh
35905,בלי הרף ,bli hrp
35906,בלי חשד ,bli xed
35907,בלי משים ,bli meim
35909,בלי נדר ,bli ndr
35910,במה דברים אמורים ,bmh dbrim amwrim
35911,במהירות בזק ,bmhirwt bzq
35936,בעוד מועד ,bywd mwyd
36204,פוסט הוק ארגו פרופטר הוק ,pwsv hwq argw prwpvr hwq
35940,או קיי ,aw qii
35965,בוקר בוקר ,bwqr bwqr
35964,בבוקר בבוקר ,bbwqr bbwqr
35966,ברוך הבא ,brwk hba
35970,ברכה לבטלה ,brkh lbvlh
35967,ברוך השם ,brwk hem
35968,ברוך שפטרני ,brwk epvrni
35969,בריש גלי ,brie gli
35971,בשום אופן ,bewm awpn
35972,בשום אופן ,bewm awpn
35975,בשר ודם ,ber wdm
35974,בשעת הדחק ,beyt hdxq
35983,בת צחוק ,bt cxwq
35988,גובה רוח ,gwbh rwx
35989,גובה לב ,gwbh lb
35992,גדולות ונצורות ,gdwlwt wncwrwt
35994,גדישת הסאה ,gdiet hsah
36000,גל עצמות ,gl ycmwt
35999,גיא צלמוות ,gia clmwwt
36004,גולת הכותרת ,gwlt hkwtrt
36005,גם אם ,gm am
36013,דבר של מה בכך ,dbr el mh bkk
36006,גם כי ,gm ki
36011,גרסא דינקותא ,grsa dinqwta
36015,דברי הימים ,dbri himim
36017,דברים בטלים ,dbrim bvlim
36018,דברים בעלמא ,dbrim bylma
36227,דברים כדרבונות ,dbrim kdrbwnwt
36021,דברים שבינו לבינה ,dbrim ebinw lbinh
36027,די והותר ,di whwtr
36028,דין ודברים ,din wdbrim
36030,דיני נפשות ,dini npewt
36031,דם המכבים ,dm hmkbim
36033,דיראון עולם ,dirawn ywlm
36034,דרך משל ,drk mel
36036,דת משה ,dt meh
36035,דרך נשים ,drk neim
36037,הבית הלבן ,hbit hlbn
36040,הבית ראשון ,hbit raewn
36042,הבית השני ,hbit heni
36041,הבית הראשון ,hbit hraewn
36044,הבל הבלים ,hbl hblim
36047,הברית החדשה ,hbrit hxdeh
36045,הבלי העולם ,hbli hywlm
36048,הגם כי ,hgm ki
36055,הווה אומר ,hwwh awmr
36049,הגם ש ,hgm e
36051,הוד והדר ,hwd whdr
36069,חילק ובילק ,xilq wbilq
36067,חלק כחלק ,xlq kxlq
36089,הלכה למעשה ,hlkh lmyeh
36072,חולי חולין ,xwli xwlin
36079,חול המועד ,xwl hmwyd
36087,הלוך ושוב ,hlwk wewb
36100,הצלה פורתא ,hclh pwrta
36101,הקדוש ברוך הוא ,hqdwe brwk hwa
36104,המוני המונים ,hmwni hmwnim
36105,הרי הרים ,hri hrim
36106,הרף עין ,hrp yin
36107,הישארות הנפש ,hiearwt hnpe
36111,וחוזר חלילה ,wxwzr xlilh
36114,זאת אומרת ,zat awmrt
36113,הוועד הפועל ,hwwyd hpwyl
36118,זכר צדיק לברכה ,zkr cdiq lbrkh
36115,זוג או פרט ,zwg aw prv
36120,זיכרון של ברזל ,zikrwn el brzl
36122,זיכרון של פיל ,zikrwn el pil
36124,ננו טכנולוגיה ,nnw vknwlwgih
36265,זכר לחרבן ,zkr lxrbn
36128,זכרו לברכה ,zkrw lbrkh
36129,זמן חירותנו ,zmn xirwtnw
36130,זמן מתן תורתנו ,zmn mtn twrtnw
36131,זמן שמחתנו ,zmn emxtnw
36134,בזעיר אנפין ,bzyir anpin
36135,זיקוקין די נור ,ziqwqin di nwr
36142,החזית לשחרור כדור הארץ ,hxzit lexrwr kdwr harc
36143,חיבוק ידיים ,xibwq idiim
36147,חד וחלק ,xd wxlq
36150,חדשות לבקרים ,xdewt lbqrim
36153,חוכא ואטלולא ,xwka wavlwla
36157,חוץ לארץ ,xwc larc
36193,חכמה נסתרה ,xkmh nstrh
36230,אדם קדמון ,adm qdmwn
36228,דו קרב ,dw qrb
36231,האדם הקדמון ,hadm hqdmwn
36232,הבל הבלים ,hbl hblim
36238,יען כי ,iyn ki
36246,חילך לאורייתא ,xilk lawriita
36239,יען אשר ,iyn aer
36241,שבת בראשית ,ebt braeit
36242,שבת הגדול ,ebt hgdwl
36243,שכם אחד ,ekm axd
36255,חומה ומגדל ,xwmh wmgdl
36248,החי נושא את עצמו ,hxi nwea at ycmw
36249,חי ה ,xi h
36250,חזק חזק ונתחזק ,xzq xzq wntxzq
36251,חזק וברוך ,xzq wbrwk
36252,חזק ואמץ ,xzq wamc
36253,חזיז ורעם ,xziz wrym
36257,חד גדיא ,xd gdia
36258,חבל על דאבדין ,xbl yl dabdin
36266,אבא אבן ,aba abn
36262,זעיר פה זעיר שם ,zyir ph zyir em
36284,אבו בכר ,abw bkr
36267,אבא הילל סילבר ,aba hill silbr
36268,אבא חושי ,aba xwei
36269,אבא קובנר ,aba qwbnr
36282,אבו אל בנאת ,abw al bnat
36283,אבו אל היג'א ,
36295,אבות ישורון ,abwt iewrwn
36285,אבו גוש ,abw gwe
36286,אבו ג'ילדה ,
36288,אבו מאזן ,abw mazn
36289,אבו סימבל ,abw simbl
36290,אבו סנאן ,abw snan
36327,אבדות ומציאות ,abdwt wmciawt
36324,אביב גפן ,abib gpn
36325,אביגדור קהלני ,abigdwr qhlni
36326,אבדות בנפש ,abdwt bnpe
36343,אבן חלדון ,abn xldwn
36332,אבי כהן ,abi khn
36333,,a.b ihwey
36341,אבן העזר ,abn hyzr
36352,אבן נייר ומספריים ,abn niir wmspriim
36345,אבן יהודה ,abn ihwdh
36368,אבק כוכבים ,abq kwkbim
36355,אבן רוזטה ,abn rwzvh
36359,אבנים בכליות ,abnim bkliwt
36360,אבנים בכיס המרה ,abnim bkis hmrh
36362,אבעבועות הפרות ,abybwywt hprwt
36364,אבעבועות שחורות ,abybwywt exwrwt
36365,אבק בין כוכבי ,abq bin kwkbi
36370,אבק של כוכבים ,abq el kwkbim
36380,אברהם אבינו ,abrhm abinw
36381,אברהם אבן שושן ,abrhm abn ewen
36382,אברהם חלפי ,abrhm xlpi
36383,אברהם לינקולן ,abrhm linqwln
36384,אברהם מאפו ,abrhm mapw
36385,אברהם שטרן ,abrhm evrn
36386,אברהם שלונסקי ,abrhm elwnsqi
36393,דה פקטו ,dh pqvw
36432,ויולה דה גמבה ,wiwlh dh gmbh
36433,אבשלום פיינברג ,abelwm piinbrg
36434,אגאתה כריסטי ,agath krisvi
36436,אגד חבילות ,agd xbilwt
36439,אגד החזקות ,agd hxzqwt
36444,האגודה למען החייל ,hagwdh lmyn hxiil
36440,אגד תיור ונופש ,agd tiwr wnwpe
36442,אגדת סינדרלה ,agdt sindrlh
36465,אגם הלשון ,agm hlewn
36445,אגודה לקימום מפגרים ,agwdh lqimwm mpgrim
36448,אגודות הכפרים ,agwdwt hkprim
36449,אגודת אודובון ,agwdt awdwbwn
36453,אגודת צער בעלי חיים ,agwdt cyr byli xiim
36461,אגם אונטריו ,agm awnvriw
36462,אגם אירי ,agm airi
36464,אגם הברבורים ,agm hbrbwrim
36479,אגף האפסנאות ,agp hapsnawt
36466,אגם ויקטוריה ,agm wiqvwrih
36468,ימת מישיגן ,imt mieign
36469,אגם נאצר ,agm nacr
36470,ימת סופיריור ,imt swpiriwr
36471,אגם קומו ,agm qwmw
36473,אגן הים התיכון ,agn him htikwn
36500,אהרון דוד גורדון ,ahrwn dwd gwrdwn
36488,אגרוף תאילנדי ,agrwp tailndi
36483,אגף המים והביוב ,agp hmim whbiwb
36484,אגף המכס והבלו ,agp hmks whblw
36490,הבונדס ,hbwnds
36491,איגרות השליחים ,aigrwt helixim
36501,אדגר אלן פו ,adgr aln pw
36502,אדגר דגה ,adgr dgh
36503,אדגר רייז בורואוז ,adgr riiz bwrwawz
36562,אהרון הכהן ,ahrwn hkhn
36504,אדוארד מונק ,adward mwnq
36505,אדואר מנה ,adwar mnh
36506,אדולף אייכמן ,adwlp aiikmn
36507,אדולף היטלר ,adwlp hivlr
36509,אדוני אלוהי צבאות ,adwni alwhi cbawt
36510,אדית פיאף ,adit piap
36520,אדמה רוח ואש ,admh rwx wae
36522,אדמונד הנרי אלנבי ,admwnd hnri alnbi
36523,אדמונד רוטשילד ,admwnd rwveild
36539,אדר ב' ,
36540,אדרבה ואדרבה ,adrbh wadrbh
36543,אדר א' ,
36553,אהוד אולמרט ,ahwd awlmrv
36554,אהוד ברק ,ahwd brq
36555,אהוד יערי ,ahwd iyri
36556,אהוד מנור ,ahwd mnwr
36557,אהלן וסהלן ,ahln wshln
36558,הפרעה טירדונית כפייתית ,hpryh virdwnit kpiitit
36559,אהרון אבו חצירא ,ahrwn abw xcira
36560,אהרון אהרונסון ,ahrwn ahrwnswn
36561,אהרון ברק ,ahrwn brq
36563,אהרון ידלין ,ahrwn idlin
36588,אוטובוס הדמים ,awvwbws hdmim
36565,אהרון מגד ,ahrwn mgd
36564,אהרון יריב ,ahrwn irib
36567,אוביטר דיקטום ,awbivr diqvwm
36573,אודם בגרון ,awdm bgrwn
36576,אוהלי קדר ,awhli qdr
36578,אוהל תורה ,awhl twrh
36584,אוזן הדוב ,awzn hdwb
36586,אוחז בשטר ,awxz bevr
36587,אוחז כשורה ,awxz kewrh
36607,אולטרה וירס ,awlvrh wirs
36596,אוטוסטרדת המידע ,awvwsvrdt hmidy
36597,אוטם שריר הלב ,awvm erir hlb
36599,אוי ואבוי ,awi wabwi
36605,אולאן באטור ,awlan bavwr
36626,אום כולת'ום ,
36608,אוליבר קרומוול ,awlibr qrwmwwl
36621,אולסי פרי ,awlsi pri
36624,אום אל פחם ,awm al pxm
36645,אוקלהומה סיטי ,awqlhwmh sivi
36641,אוצר השורשים ,awcr hewreim
36651,אור הגנוז ,awr hgnwz
36666,אורי אבנרי ,awri abnri
36653,אורה נמיר ,awrh nmir
36662,באורח נס ,bawrx ns
36676,אור כשדים ,awr kedim
36668,אורים ותומים ,awrim wtwmim
36669,אורים ותומים ,awrim wtwmim
36680,אורן סמדג'ה ,
36682,אורנה פורת ,awrnh pwrt
36687,אורסון וולס ,awrswn wwls
36688,אור עקיבא ,awr yqiba
36693,אור שמח ,awr emx
36701,אות הקוממיות ,awt hqwmmiwt
36694,אושר ועושר ,awer wywer
36703,אות ועדות ,awt wydwt
36702,אות וסימן ,awt wsimn
36723,אזור הדמדומים ,azwr hdmdwmim
37209,אאוט ,aawv